Tag URL,line1,line2
https://www.rekhta.org/tags/aabla-shayari/couplets,abhī se paañv ke chhāle na dekho,abhī yaaro safar kī ibtidā hai
https://www.rekhta.org/tags/aabla-shayari/couplets,abhi se panw ke chhaale na dekho,abhi yaro safar ki ibtida hai
https://www.rekhta.org/tags/aabla-shayari/couplets,donoñ kā milnā mushkil hai donoñ haiñ majbūr bahut,us ke paañv meñ mehñdī lagī hai mere paañv meñ chhāle haiñ
https://www.rekhta.org/tags/aabla-shayari/couplets,donon ka milna mushkil hai donon hain majbur bahut,us ke panw mein mehndi lagi hai mere panw mein chhaale hain
https://www.rekhta.org/tags/aabla-shayari/couplets,jin ke hoñToñ pe hañsī paañv meñ chhāle hoñge,haañ vahī log tumheñ chāhne vaale hoñge
https://www.rekhta.org/tags/aabla-shayari/couplets,jin ke honTon pe hansi panw mein chhaale honge,han wahi log tumhein chahne wale honge
https://www.rekhta.org/tags/aabla-shayari/couplets,ābla-pā koī is dasht meñ aayā hogā,varna āñdhī meñ diyā kis ne jalāyā hogā
https://www.rekhta.org/tags/aabla-shayari/couplets,aabla-pa koi is dasht mein aaya hoga,warna aandhi mein diya kis ne jalaya hoga
https://www.rekhta.org/tags/aabla-shayari/couplets,shikva-e-ābla abhī se 'mīr',hai piyāre hanūz dillī duur
https://www.rekhta.org/tags/aabla-shayari/couplets,shikwa-e-abla abhi se 'mir',hai piyare hanuz dilli dur
https://www.rekhta.org/tags/aabla-shayari/couplets,ḳhush haiñ to phir musāfir-e-duniyā nahīñ haiñ aap,is dasht meñ bas ābla-pā.ī hai roiye
https://www.rekhta.org/tags/aabla-shayari/couplets,KHush hain to phir musafir-e-duniya nahin hain aap,is dasht mein bas aabla-pai hai roiye
https://www.rekhta.org/tags/aabla-shayari/couplets,safar meñ har qadam rah rah ke ye taklīf hī dete,bahar-sūrat hameñ in ābloñ ko phoḌ denā thā
https://www.rekhta.org/tags/aabla-shayari/couplets,safar mein har qadam rah rah ke ye taklif hi dete,bahar-surat hamein in aablon ko phoD dena tha
https://www.rekhta.org/tags/aabla-shayari/couplets,maiñ sar-ba-sajda sakūñ meñ nahīñ safar meñ huuñ,jabīñ pe daaġh nahīñ aabla banā huā hai
https://www.rekhta.org/tags/aabla-shayari/couplets,main sar-ba-sajda sakun mein nahin safar mein hun,jabin pe dagh nahin aabla bana hua hai
https://www.rekhta.org/tags/aabla-shayari/couplets,ai mire paañv ke chhālo mire ham-rāh raho,imtihāñ saḳht hai tum chhoḌ ke jaate kyuuñ ho
https://www.rekhta.org/tags/aabla-shayari/couplets,ai mere panw ke chhaalo mere ham-rah raho,imtihan saKHt hai tum chhoD ke jate kyun ho
https://www.rekhta.org/tags/aabla-shayari/couplets,kāñToñ kī zabāñ suukh ga.ī pyaas se yā rab,ik ābla-pā vādi-e-pur-ḳhār meñ aave
https://www.rekhta.org/tags/aabla-shayari/couplets,kanTon ki zaban sukh gai pyas se ya rab,ek aabla-pa wadi-e-pur-KHar mein aawe
https://www.rekhta.org/tags/aabla-shayari/couplets,rāsta paanī māñgtā hai,apne paañv kā chhālā maar
https://www.rekhta.org/tags/aabla-shayari/couplets,rasta pani mangta hai,apne panw ka chhaala mar
https://www.rekhta.org/tags/aabla-shayari/couplets,mujhe yaqīñ to bahut thā magar ġhalat niklā,ki aabla kabhī pā-posh meñ nahīñ aatā
https://www.rekhta.org/tags/aabla-shayari/couplets,mujhe yaqin to bahut tha magar ghalat nikla,ki aabla kabhi pa-posh mein nahin aata
https://www.rekhta.org/tags/aabla-shayari/couplets,zulm par zulm aa ga.e ġhālib,aable ābloñ ko chhoḌ ga.e
https://www.rekhta.org/tags/aabla-shayari/couplets,zulm par zulm aa gae ghaalib,aable aablon ko chhoD gae
https://www.rekhta.org/tags/aabla-shayari/couplets,aao taqrīb-e-rū-numā.ī kareñ,paañv meñ ek aabla huā hai
https://www.rekhta.org/tags/aabla-shayari/couplets,aao taqrib-e-ru-numai karen,panw mein ek aabla hua hai
https://www.rekhta.org/tags/aabla-shayari/couplets,tez rakhiyo sar-e-har-ḳhār ko ai dasht-e-junūñ,shāyad aa jaa.e koī ābla-pā mere ba.ad
https://www.rekhta.org/tags/aabla-shayari/couplets,tez rakhiyo sar-e-har-KHar ko ai dasht-e-junun,shayad aa jae koi aabla-pa mere baad
https://www.rekhta.org/tags/aabla-shayari/couplets,ik aabla thā so bhī gayā ḳhār-e-ġham se phaT,terī girah meñ kyā dil-e-andoh-gīñ rahā
https://www.rekhta.org/tags/aabla-shayari/couplets,ek aabla tha so bhi gaya KHar-e-gham se phaT,teri girah mein kya dil-e-andoh-gin raha
https://www.rekhta.org/tags/aabla-shayari/couplets,dil ke har juzv meñ judā.ī hai,dard uThe aabla agar baiThe
https://www.rekhta.org/tags/aabla-shayari/couplets,dil ke har juzw mein judai hai,dard uThe aabla agar baiThe
https://www.rekhta.org/tags/aabla-shayari/couplets,be-takalluf maqām-e-ulfat hai,daaġh uTThe ki aabla baiThe
https://www.rekhta.org/tags/aabla-shayari/couplets,be-takalluf maqam-e-ulfat hai,dagh uTThe ki aabla baiThe
https://www.rekhta.org/tags/aabla-shayari/couplets,ḳhaar chubh kar jo TūTtā hai kabhī,aabla phuuT phuuT rotā hai
https://www.rekhta.org/tags/aabla-shayari/couplets,KHar chubh kar jo TuTta hai kabhi,aabla phuT phuT rota hai
https://www.rekhta.org/tags/aabla-shayari/couplets,jab is meñ ḳhuuñ rahā na to ye dil kā aabla,ho ḳhushk jaise dāna-e-añgūr rah gayā
https://www.rekhta.org/tags/aabla-shayari/couplets,jab is mein KHun raha na to ye dil ka aabla,ho KHushk jaise dana-e-angur rah gaya
https://www.rekhta.org/tags/aabla-shayari/couplets,hai jab tak dasht-paimā.ī salāmat,rahegī ābla-pā.ī salāmat
https://www.rekhta.org/tags/aabla-shayari/couplets,hai jab tak dasht-paimai salamat,rahegi aabla-pai salamat
https://www.rekhta.org/tags/aabla-shayari/couplets,lagā.ī kis but-e-mai-nosh ne hai taak us par,subū-ba-dosh hai saaqī jo aabla dil kā
https://www.rekhta.org/tags/aabla-shayari/couplets,lagai kis but-e-mai-nosh ne hai tak us par,subu-ba-dosh hai saqi jo aabla dil ka
https://www.rekhta.org/tags/aabla-shayari/couplets,bachegā na kāvish se mizhgāñ kī dil,ki nashtar bahut aabla ek hai
https://www.rekhta.org/tags/aabla-shayari/couplets,bachega na kawish se mizhgan ki dil,ki nashtar bahut aabla ek hai
https://www.rekhta.org/tags/aabla-shayari/couplets,ham aabla ban rahe haiñ ham ko,ik jumbish-e-neshtar bahut hai
https://www.rekhta.org/tags/aabla-shayari/couplets,hum aabla ban rahe hain hum ko,ek jumbish-e-neshtar bahut hai
https://www.rekhta.org/tags/aabla-shayari/couplets,jo mujh ātish-nafas ne muñh lagāyā us ko ai saaqī,abhī hone lageñge aable mahsūs shīshe meñ
https://www.rekhta.org/tags/aabla-shayari/couplets,jo mujh aatish-nafas ne munh lagaya us ko ai saqi,abhi hone lagenge aable mahsus shishe mein
https://www.rekhta.org/tags/aabla-shayari/couplets,ḳhāk-e-sahrā-e-junūñ narm hai resham kī tarah,aabla hai na koī ābla-pā mere ba.ad
https://www.rekhta.org/tags/aabla-shayari/couplets,KHak-e-sahra-e-junun narm hai resham ki tarah,aabla hai na koi aabla-pa mere baad
https://www.rekhta.org/tags/aadmi-shayari/couplets,aaj ik aur baras biit gayā us ke baġhair,jis ke hote hue hote the zamāne mere
https://www.rekhta.org/tags/aadmi-shayari/couplets,har aadmī meñ hote haiñ das biis aadmī,jis ko bhī dekhnā ho ka.ī baar dekhnā
